Date,Transaction Description,Category,Amount (Rupiah),Type
2024-07-02,Reward service regular contract automatic.,Other,21985200,Income
2024-07-02,Maintenance order debit.,Travel,12894500,Expense
2024-07-02,Flight booking delivery water tax.,Investment,27680300,Income
2024-07-02,Mall subscription.,Travel,7190300,Expense
2024-07-02,Loan store phone fee mall plan personal.,Salary,5244200,Income
2024-07-02,Fuel travel plan pharmacy flight contract premium.,Shopping,8979600,Expense
2024-07-02,Transfer hotel bill.,Other,31260600,Income
2024-07-02,Water material salary gym account bus.,Travel,7667700,Expense
2024-07-02,Shop bus package standard network.,Food & Drink,17026700,Expense
2024-07-02,Payment electricity automatic insurance total tax.,Rent,1633600,Expense
2024-07-02,Hospital app platform reward mortgage health.,Utilities,7695200,Expense
2024-07-03,Bus bus flight.,Shopping,15268200,Expense
2024-07-03,Client subscription flight software processed deposit order.,Utilities,2158100,Expense
2024-07-03,Purchase hospital.,Utilities,561100,Expense
2024-07-03,Fee mall business balance grocery adjustment.,Salary,2787200,Income
2024-07-03,Loan clinic payment weekly pharmacy regular.,Utilities,8251000,Expense
2024-07-03,Standard annual debit debit booking.,Rent,17690300,Expense
2024-07-03,Platform premium hardware health restaurant.,Utilities,7123700,Expense
2024-07-04,Salary online platform.,Entertainment,3589700,Expense
2024-07-04,Bus train food app.,Food & Drink,14845500,Expense
2024-07-04,Hardware internet plan pending fuel net.,Salary,9019100,Income
2024-07-05,Reward vendor vendor.,Utilities,17625500,Expense
2024-07-05,Management service.,Salary,16496900,Income
2024-07-05,Tax invoice.,Other,20995200,Income
2024-07-05,Household network invoice taxi grocery.,Rent,14107500,Expense
2024-07-05,Market food purchase clinic.,Rent,11104500,Expense
2024-07-05,Law work.,Investment,21570000,Income
2024-07-05,Deposit adjustment weekly health.,Salary,8301500,Income
2024-07-05,Processed food internet project client.,Travel,5590000,Expense
2024-07-05,Economy budget store.,Health & Fitness,9070400,Expense
2024-07-06,Pending utility subscription total.,Utilities,7104900,Expense
2024-07-06,Parking advance discount equipment processed purchase.,Utilities,11214600,Expense
2024-07-06,Research visit program suddenly doctor.,Shopping,16547600,Expense
2024-07-06,Investment plan mall.,Salary,9526400,Income
2024-07-06,Hardware net parking hospital electricity subscription.,Health & Fitness,13265700,Expense
2024-07-06,Tax plan clinic automatic store contract.,Health & Fitness,4105200,Expense
2024-07-06,Booking contract bonus automatic package.,Salary,5567400,Income
2024-07-07,Hardware project grocery.,Salary,8458900,Income
2024-07-07,Market mall market discount personal health purchase.,Travel,10061700,Expense
2024-07-07,Better republican stock bank.,Rent,1954500,Expense
2024-07-07,Thousand live land hard.,Food & Drink,17949700,Expense
2024-07-07,Mind easy foreign old.,Food & Drink,17567300,Expense
2024-07-07,Client express financial gym phone total.,Investment,32497600,Income
2024-07-07,Project spring of.,Utilities,9569800,Expense
2024-07-08,Advance internet vendor management delivery.,Rent,13921600,Expense
2024-07-08,Automatic loan payment.,Rent,2338700,Expense
2024-07-08,Interest budget software phone client.,Rent,2501700,Expense
2024-07-08,System loan standard advance.,Travel,10717300,Expense
2024-07-08,Special direct.,Food & Drink,9333400,Expense
2024-07-09,Equipment water food standard hospital.,Utilities,5399400,Expense
2024-07-09,Contract deal deposit delivery deposit.,Other,25423400,Income
2024-07-09,System client special booking.,Utilities,2689500,Expense
2024-07-09,Hospital utility tools charge market daily.,Health & Fitness,10113800,Expense
2024-07-09,Savings deposit express clinic direct.,Travel,6838700,Expense
2024-07-09,Grocery system clinic store hardware payment transfer.,Salary,9090500,Income
2024-07-09,Mall account digital health special entertainment.,Food & Drink,4019500,Expense
2024-07-10,Pending order order grocery.,Salary,11077900,Income
2024-07-10,Utility store debit shop.,Rent,7033500,Expense
2024-07-10,Regular app premium.,Rent,6513500,Expense
2024-07-10,Order grocery project pending automatic.,Food & Drink,10722600,Expense
2024-07-11,Bonus mall discount deal.,Health & Fitness,7248000,Expense
2024-07-11,Priority hotel monthly shop water client.,Shopping,11712900,Expense
2024-07-11,Insurance mortgage.,Rent,4391200,Expense
2024-07-12,Interest travel.,Entertainment,18693500,Expense
2024-07-12,Annual digital internet food store.,Other,11635400,Income
2024-07-12,Management market.,Shopping,17659200,Expense
2024-07-12,Management mortgage subscription fuel freelance.,Entertainment,10032000,Expense
2024-07-13,Hardware daily fee flight app pending parking.,Salary,5233500,Income
2024-07-13,Deposit entertainment charge express market entertainment.,Utilities,10861200,Expense
2024-07-13,Tax business travel digital system adjustment invoice.,Travel,16049500,Expense
2024-07-13,Open million house enough.,Shopping,10488700,Expense
2024-07-13,Equipment entertainment service.,Travel,15964600,Expense
2024-07-13,Personal financial annual.,Salary,9595500,Income
2024-07-13,You ready way rule.,Food & Drink,13983100,Expense
2024-07-13,Invoice deposit financial.,Health & Fitness,5454900,Expense
2024-07-13,Transfer charge tax digital.,Investment,33092200,Income
2024-07-13,Flight express standard fee clinic mortgage.,Salary,4057100,Income
2024-07-14,Support household travel loan water.,Other,26430400,Income
2024-07-14,Grocery credit food annual.,Food & Drink,9038900,Expense
2024-07-14,Bus discount package regular online.,Shopping,9773500,Expense
2024-07-14,Deposit purchase savings.,Entertainment,18054300,Expense
2024-07-14,Household financial.,Entertainment,12300200,Expense
2024-07-14,Food household store delivery renewal.,Travel,11904600,Expense
2024-07-14,Deal fuel.,Shopping,9434700,Expense
2024-07-14,Shop processed deposit phone entertainment pending adjustment.,Other,16912600,Income
2024-07-15,Deposit package express contract order business.,Entertainment,19199700,Expense
2024-07-15,Flight savings utility client flight.,Entertainment,14238400,Expense
2024-07-15,Fuel gym economy bill pharmacy parking net.,Travel,9008700,Expense
2024-07-15,Advance investment daily utility app software adjustment.,Investment,38870100,Income
2024-07-15,Digital account service hardware.,Shopping,17001100,Expense
2024-07-16,Equipment advance direct mall shop travel.,Rent,11479700,Expense
2024-07-16,App automatic automatic standard.,Shopping,15139000,Expense
2024-07-16,Net order monthly utility water regular credit.,Health & Fitness,11963200,Expense
2024-07-16,Certain camera represent.,Salary,15812200,Income
2024-07-16,Software equipment app parking equipment direct.,Shopping,7384600,Expense
2024-07-16,Water software parking bonus equipment online.,Utilities,4480000,Expense
2024-07-17,Interest loan order invoice hospital package package.,Travel,12577600,Expense
2024-07-17,Hardware loan order.,Entertainment,8058700,Expense
2024-07-17,Purchase freelance platform.,Salary,10431800,Income
2024-07-17,Management hospital project.,Travel,11388400,Expense
2024-07-17,Vendor mall total priority tax order.,Salary,6855700,Income
2024-07-17,Reward vendor taxi standard.,Rent,7713200,Expense
2024-07-18,Network restaurant.,Shopping,9737700,Expense
2024-07-18,Electricity health equipment.,Rent,6374500,Expense
2024-07-18,Phone equipment renewal.,Health & Fitness,18908500,Expense
2024-07-18,Processed tools adjustment personal investment.,Salary,5274700,Income
2024-07-18,Loan gross interest software app discount.,Utilities,645700,Expense
2024-07-18,Business economy investment net priority credit debit.,Other,38809800,Income
2024-07-18,Premium package flight bus phone business.,Entertainment,10834000,Expense
2024-07-18,Equipment credit.,Shopping,9420700,Expense
2024-07-18,Business investment daily client fee system budget.,Utilities,8773700,Expense
2024-07-18,Daily household insurance fuel grocery parking.,Entertainment,6114400,Expense
2024-07-19,Parking debit train discount phone.,Health & Fitness,2502100,Expense
2024-07-19,Payment monthly net.,Entertainment,11574200,Expense
2024-07-19,Discount bus market bill credit entertainment.,Shopping,2061600,Expense
2024-07-19,Salary economy total insurance standard adjustment.,Travel,9992400,Expense
2024-07-19,Discount deposit regular freelance flight vendor.,Travel,10186700,Expense
2024-07-20,Bill equipment plan charge mortgage.,Travel,16450200,Expense
2024-07-20,Special order purchase.,Utilities,4404200,Expense
2024-07-20,Tell brother defense list second.,Rent,8567200,Expense
2024-07-21,Charge insurance utility restaurant network weekly.,Utilities,498200,Expense
2024-07-21,Deposit adjustment personal pharmacy annual salary weekly.,Shopping,5089500,Expense
2024-07-21,Business bus total fee.,Entertainment,13555900,Expense
2024-07-21,Shop digital account household mortgage personal service.,Salary,9623600,Income
2024-07-21,Software package mall package hospital tools insurance.,Utilities,10853700,Expense
2024-07-21,Tv budget system book.,Entertainment,18210700,Expense
2024-07-22,Face mission brother figure hear.,Other,26110000,Income
2024-07-22,Gym transfer.,Rent,15653600,Expense
2024-07-22,Online client utility.,Investment,23962700,Income
2024-07-22,Automatic mortgage freelance.,Utilities,506800,Expense
2024-07-22,Client direct digital subscription special household.,Salary,18188900,Income
2024-07-23,Health project delivery financial project hotel special.,Health & Fitness,16306400,Expense
2024-07-23,Democratic standard major.,Investment,35720000,Income
2024-07-23,App adjustment tools automatic deposit.,Entertainment,13236800,Expense
2024-07-23,Booking software.,Rent,17884700,Expense
2024-07-23,Vendor premium weekly freelance daily.,Rent,15181900,Expense
2024-07-23,Direct total annual premium system electricity clinic.,Health & Fitness,7284300,Expense
2024-07-23,Agreement central six instead.,Investment,47800000,Income
2024-07-23,Online online.,Utilities,4568700,Expense
2024-07-23,Platform taxi.,Entertainment,6099700,Expense
2024-07-24,Online digital monthly loan electricity restaurant.,Other,39183000,Income
2024-07-24,Clinic purchase monthly.,Health & Fitness,9180800,Expense
2024-07-24,Direct renewal premium mall contract.,Food & Drink,9725800,Expense
2024-07-24,Payment household phone utility.,Rent,16380800,Expense
2024-07-25,Automatic personal credit.,Entertainment,7683400,Expense
2024-07-25,Automatic digital material.,Entertainment,9508100,Expense
2024-07-25,Give that individual of not.,Health & Fitness,8236000,Expense
2024-07-26,Economy plan.,Health & Fitness,12181800,Expense
2024-07-26,Equipment account credit discount store delivery health.,Other,28610600,Income
2024-07-26,Reward support invoice clinic bill adjustment tax.,Rent,14633600,Expense
2024-07-26,Insurance interest service.,Rent,8955200,Expense
2024-07-26,Savings daily payment household clinic.,Food & Drink,7722500,Expense
2024-07-26,Store net bonus premium.,Other,22395100,Income
2024-07-26,Salary utility parking economy material monthly.,Salary,4946300,Income
2024-07-26,Purchase subscription renewal.,Salary,8853300,Income
2024-07-26,Little result paper seven.,Other,25770000,Income
2024-07-26,Seven project chance road.,Shopping,11336900,Expense
2024-07-26,Express entertainment bill maintenance gym vendor.,Shopping,3961600,Expense
2024-07-26,Professor important do house must.,Shopping,15123900,Expense
2024-07-26,Equipment monthly support vendor.,Salary,1030300,Income
2024-07-26,Position tend religious.,Salary,3656500,Income
2024-07-26,Advance savings order.,Utilities,5261700,Expense
2024-07-27,Plan invoice purchase gym train electricity grocery.,Utilities,9412800,Expense
2024-07-27,My serious whatever miss seek.,Health & Fitness,15506500,Expense
2024-07-27,Someone religious night buy nice.,Salary,5150200,Income
2024-07-27,Flight debit regular express.,Travel,3374200,Expense
2024-07-27,Build view.,Utilities,17114500,Expense
2024-07-27,App pharmacy fee premium.,Rent,14390900,Expense
2024-07-27,Delivery adjustment digital account freelance hotel.,Shopping,10897200,Expense
2024-07-27,Loan insurance clinic fee.,Investment,31499300,Income
2024-07-27,Hotel management.,Shopping,8137100,Expense
2024-07-28,Entertainment budget.,Other,35796200,Income
2024-07-28,Entertainment weekly market credit investment software salary.,Utilities,16624000,Expense
2024-07-28,Order economy invoice pharmacy.,Salary,1413400,Income
2024-07-28,Be move fly open.,Utilities,2095500,Expense
2024-07-28,Ever day.,Entertainment,8987200,Expense
2024-07-28,Freelance credit app insurance store personal digital.,Travel,9154500,Expense
2024-07-28,Total support gym project weekly renewal.,Rent,9318800,Expense
2024-07-29,System market internet plan processed deal.,Rent,2175200,Expense
2024-07-29,Fish either boy between collection.,Food & Drink,3298700,Expense
2024-07-29,Food gym health.,Travel,7619700,Expense
2024-07-29,Eight bed fill.,Food & Drink,16107000,Expense
2024-07-29,Monthly salary.,Entertainment,7569100,Expense
2024-07-29,Hotel balance grocery economy hardware hardware maintenance.,Entertainment,5468300,Expense
2024-07-29,Travel internet parking market.,Utilities,9206700,Expense
2024-07-29,Future congress.,Health & Fitness,16037000,Expense
2024-07-29,Invoice financial software.,Travel,929700,Expense
2024-07-30,Premium automatic client personal material.,Food & Drink,6762600,Expense
2024-07-30,Personal market charge economy shop.,Salary,6731000,Income
2024-07-30,Hope floor include.,Rent,5335500,Expense
2024-07-30,Arrive which consider.,Salary,18524600,Income
2024-07-30,Charge regular advance express automatic.,Rent,5341600,Expense
2024-07-30,App investment.,Entertainment,6286200,Expense
2024-07-30,Subscription annual.,Investment,34548400,Income
2024-07-30,Annual support software advance adjustment flight.,Salary,9976000,Income
2024-07-30,System client gym.,Investment,9579100,Income
2024-07-31,Business financial delivery.,Investment,25509600,Income
2024-07-31,Tax account.,Other,42105200,Income
2024-07-31,Support credit direct utility.,Food & Drink,19059800,Expense
2024-07-31,Charge project online subscription bill.,Utilities,1705300,Expense
2024-07-31,Invoice project material bonus project software automatic.,Salary,11936300,Income
2024-08-01,Daily debit discount premium payment electricity automatic.,Shopping,2356400,Expense
2024-08-01,Tax contract insurance plan entertainment.,Travel,9950500,Expense
2024-08-01,Regular automatic financial renewal.,Entertainment,16836600,Expense
2024-08-01,Freelance processed parking vendor platform deposit internet.,Other,32325800,Income
2024-08-01,Grocery delivery plan management.,Utilities,5602300,Expense
2024-08-01,Heart still building.,Food & Drink,14517400,Expense
2024-08-01,Processed digital maintenance weekly investment automatic.,Investment,22953800,Income
2024-08-02,We especially five network.,Food & Drink,18919700,Expense
2024-08-02,Charge order.,Food & Drink,17065400,Expense
2024-08-02,Equipment service reward app booking priority.,Utilities,5173000,Expense
2024-08-02,Parking clinic monthly total deposit support service.,Utilities,7137800,Expense
2024-08-02,Software purchase net adjustment.,Shopping,14518900,Expense
2024-08-02,Reward purchase charge reward.,Other,17009000,Income
2024-08-02,Sell only manage.,Shopping,12317900,Expense
2024-08-03,Renewal gross system train material.,Salary,10261200,Income
2024-08-03,Push east never size fight.,Travel,3975500,Expense
2024-08-03,Grocery net regular taxi transfer parking tax.,Utilities,6640800,Expense
2024-08-03,Digital pending personal.,Travel,9234800,Expense
2024-08-03,Ahead plant trial affect.,Salary,8835500,Income
2024-08-04,Subscription subscription loan savings deal.,Travel,9528300,Expense
2024-08-04,Material financial flight project internet.,Salary,13621600,Income
2024-08-04,Renewal bus.,Entertainment,11489500,Expense
2024-08-04,Investment train weekly online daily economy.,Utilities,9966600,Expense
2024-08-04,Monthly credit daily processed electricity.,Travel,11897100,Expense
2024-08-04,System bus monthly contract.,Other,36812800,Income
2024-08-04,Processed credit contract train water account.,Food & Drink,7456200,Expense
2024-08-04,Booking financial flight.,Health & Fitness,3279500,Expense
2024-08-04,Household tools pharmacy subscription shop savings.,Entertainment,9809600,Expense
2024-08-05,Charge fuel.,Utilities,18370900,Expense
2024-08-05,Contract pending regular fee plan.,Entertainment,15061100,Expense
2024-08-05,Annual platform account net processed travel household.,Shopping,11311400,Expense
2024-08-05,Health daily investment.,Other,25853300,Income
2024-08-05,Water fuel payment.,Utilities,8751000,Expense
2024-08-06,Bonus platform fee premium credit.,Food & Drink,4713700,Expense
2024-08-06,Household loan weekly flight.,Food & Drink,5287000,Expense
2024-08-06,Digital advance service restaurant.,Travel,12130700,Expense
2024-08-06,Express account train mortgage maintenance financial.,Entertainment,9712100,Expense
2024-08-06,Financial gym processed shop clinic.,Salary,348700,Income
2024-08-06,Express entertainment.,Investment,25942900,Income
2024-08-07,Internet budget discount.,Other,20992200,Income
2024-08-07,Freelance network pending net tools management.,Shopping,13560400,Expense
2024-08-07,Network fee savings.,Rent,5603000,Expense
2024-08-07,Loan annual mall special package flight.,Shopping,14355800,Expense
2024-08-07,Vendor economy contract management.,Travel,9130100,Expense
2024-08-07,Priority direct subscription balance.,Investment,29690100,Income
2024-08-07,Software network.,Utilities,5649500,Expense
2024-08-07,Credit internet deal.,Salary,16429100,Income
2024-08-07,Deal hotel order hospital household budget.,Entertainment,7687400,Expense
2024-08-08,Delivery total hardware subscription water.,Rent,13354300,Expense
2024-08-08,Base player data whose.,Entertainment,12342300,Expense
2024-08-08,Platform weekly health hospital internet.,Rent,12949300,Expense
2024-08-08,Client tools economy.,Food & Drink,2570900,Expense
2024-08-08,Gym utility project internet freelance management contract.,Rent,13082300,Expense
2024-08-09,Management health premium management hardware.,Travel,13940000,Expense
2024-08-09,World site mr interest treatment.,Health & Fitness,4861200,Expense
2024-08-09,Order project hotel priority parking payment.,Food & Drink,16899200,Expense
2024-08-09,Software clinic restaurant.,Salary,5333300,Income
2024-08-09,Travel material flight.,Travel,11702700,Expense
2024-08-10,Credit deal.,Other,14199600,Income
2024-08-10,Hotel app renewal insurance bus deal automatic.,Other,21072600,Income
2024-08-10,Bonus renewal premium invoice material.,Food & Drink,3964600,Expense
2024-08-10,Credit deal mall adjustment subscription net parking.,Shopping,4047500,Expense
2024-08-10,Insurance phone water account.,Other,31961000,Income
2024-08-11,Economy store salary.,Rent,3668800,Expense
2024-08-11,Delivery total mall food hardware.,Investment,20571100,Income
2024-08-11,A let.,Investment,12110000,Income
2024-08-11,Debit vendor interest equipment personal deposit freelance.,Shopping,14909000,Expense
2024-08-11,Pharmacy grocery hospital taxi deposit automatic deal.,Food & Drink,1261700,Expense
2024-08-11,Bonus household.,Health & Fitness,18837600,Expense
2024-08-11,Restaurant investment monthly deal economy tools processed.,Rent,7239800,Expense
2024-08-11,Direct pharmacy software insurance app train renewal.,Health & Fitness,4309300,Expense
2024-08-12,Deposit maintenance shop service.,Food & Drink,1361800,Expense
2024-08-12,Equipment credit purchase vendor digital support insurance.,Entertainment,13925000,Expense
2024-08-12,Vendor discount grocery.,Food & Drink,9796400,Expense
2024-08-12,Express digital gym booking hospital clinic.,Rent,8763200,Expense
2024-08-12,Tools renewal regular equipment regular.,Travel,7845100,Expense
2024-08-12,Project equipment project flight economy business.,Entertainment,6962700,Expense
2024-08-12,Travel account contract fuel.,Shopping,12315600,Expense
2024-08-13,Premium total network mall annual order.,Investment,47354600,Income
2024-08-13,Loan service grocery.,Utilities,7223500,Expense
2024-08-13,Freelance total payment weekly adjustment delivery app.,Entertainment,10181900,Expense
2024-08-13,Water internet total regular bus.,Investment,36545600,Income
2024-08-13,Food maintenance payment travel.,Investment,23750700,Income
2024-08-14,Claim move.,Rent,18391600,Expense
2024-08-14,Mall mall.,Utilities,3046800,Expense
2024-08-14,Yourself successful defense subject.,Entertainment,10403100,Expense
2024-08-14,Weekly package market account fee financial mortgage.,Food & Drink,16262100,Expense
2024-08-14,Parking invoice platform.,Salary,2766000,Income
2024-08-14,A value lot.,Shopping,7127200,Expense
2024-08-14,Project taxi express payment restaurant.,Travel,5425800,Expense
2024-08-14,Equipment weekly annual economy.,Travel,9650100,Expense
2024-08-15,Advance premium insurance.,Travel,16597500,Expense
2024-08-15,Clinic subscription.,Travel,15941300,Expense
2024-08-15,Bed recognize store.,Health & Fitness,7014800,Expense
2024-08-15,Daily special digital total health grocery digital.,Health & Fitness,13086300,Expense
2024-08-15,Budget vendor project.,Entertainment,15960000,Expense
2024-08-15,Charge salary software electricity transfer support.,Shopping,4931300,Expense
2024-08-16,Client hotel tools credit hospital.,Food & Drink,11053600,Expense
2024-08-16,Material special annual contract bill food loan.,Rent,2061300,Expense
2024-08-16,Special mortgage.,Shopping,8952200,Expense
2024-08-16,Hospital business deal invoice tax household.,Other,48208100,Income
2024-08-16,Balance pending investment express monthly.,Salary,18976000,Income
2024-08-16,Client credit discount electricity standard food bus.,Entertainment,10771600,Expense
2024-08-16,Total budget bill household processed booking grocery.,Health & Fitness,2655900,Expense
2024-08-16,Plan support purchase mortgage grocery.,Entertainment,6852500,Expense
2024-08-17,Express digital gym travel management.,Utilities,3815800,Expense
2024-08-17,Daily service shop.,Other,18911000,Income
2024-08-17,Credit premium fuel annual material.,Food & Drink,16917500,Expense
2024-08-17,Adjustment business parking freelance financial.,Entertainment,6920300,Expense
2024-08-17,Hospital financial restaurant grocery.,Utilities,8227300,Expense
2024-08-17,Adjustment savings economy renewal grocery.,Entertainment,10208400,Expense
2024-08-18,Maintenance health order platform subscription personal hospital.,Travel,10736200,Expense
2024-08-18,Invoice budget gym service food.,Shopping,1040100,Expense
2024-08-18,Gym parking fuel mall.,Utilities,9542700,Expense
2024-08-18,Delivery insurance mall direct.,Entertainment,4250200,Expense
2024-08-19,Invoice bill electricity financial market.,Shopping,15401000,Expense
2024-08-19,Adjustment credit online hardware deposit hotel parking.,Food & Drink,14195300,Expense
2024-08-19,Clinic material.,Food & Drink,10380800,Expense
2024-08-19,Debit advance equipment deal online internet investment.,Salary,17245800,Income
2024-08-19,Financial online equipment.,Utilities,4745900,Expense
2024-08-20,Food special mall order monthly.,Travel,14044700,Expense
2024-08-20,Gym interest clinic.,Health & Fitness,16463300,Expense
2024-08-20,Restaurant project transfer household bonus subscription client.,Salary,14898400,Income
2024-08-20,Software management savings transfer hospital reward.,Health & Fitness,15349600,Expense
2024-08-20,Automatic daily.,Travel,15060700,Expense
2024-08-20,Bus premium debit.,Travel,9511100,Expense
2024-08-20,Savings health travel standard.,Investment,29612600,Income
2024-08-20,Advance parking weekly.,Health & Fitness,9337000,Expense
2024-08-20,Digital special insurance hotel mortgage investment.,Travel,9717100,Expense
2024-08-21,Restaurant salary booking subscription delivery project booking.,Other,47787200,Income
2024-08-21,Fuel train store charge.,Utilities,11568200,Expense
2024-08-21,Charge hardware business net interest automatic.,Shopping,2946600,Expense
2024-08-21,Utility debit.,Food & Drink,2483500,Expense
2024-08-21,Freelance standard client.,Travel,2872200,Expense
2024-08-21,Service vendor network pending water daily.,Health & Fitness,8983000,Expense
2024-08-21,Household priority.,Food & Drink,9067800,Expense
2024-08-21,Delivery premium purchase water pending regular.,Travel,10485000,Expense
2024-08-22,Total restaurant.,Investment,26598100,Income
2024-08-22,Reward loan priority reward delivery total.,Food & Drink,10345300,Expense
2024-08-22,Package health market invoice total.,Utilities,11344600,Expense
2024-08-22,Hotel material transfer interest.,Other,45801500,Income
2024-08-22,Parking bill parking service gym hotel platform.,Shopping,5621600,Expense
2024-08-22,Market hardware store electricity net standard mall.,Shopping,10441800,Expense
2024-08-22,Package express tax train automatic fee flight.,Investment,21751900,Income
2024-08-22,There decision measure.,Entertainment,12166600,Expense
2024-08-23,Freelance management.,Other,26875200,Income
2024-08-23,Play woman remain event.,Other,5380000,Income
2024-08-23,Express system water.,Salary,7539700,Income
2024-08-23,Reward project contract water.,Utilities,10053500,Expense
2024-08-24,Tools standard network grocery hospital total.,Entertainment,8834500,Expense
2024-08-24,Subscription food support parking reward bus.,Entertainment,16972700,Expense
2024-08-24,Charge tools gym management discount package.,Travel,9745000,Expense
2024-08-24,Clinic gym store platform automatic premium priority.,Salary,14695900,Income
2024-08-24,Project loan regular contract restaurant store.,Investment,21676300,Income
2024-08-24,Hospital train plan shop personal equipment support.,Utilities,9982000,Expense
2024-08-25,Participant above.,Travel,6865300,Expense
2024-08-25,Credit insurance fuel account.,Food & Drink,18718400,Expense
2024-08-25,Debit order special.,Utilities,15221800,Expense
2024-08-25,Market mall network.,Other,32521100,Income
2024-08-25,Including time reflect.,Other,49060000,Income
2024-08-25,Payment water train.,Salary,4767300,Income
2024-08-25,Decision where foreign trial.,Shopping,10174100,Expense
2024-08-25,Support monthly discount client debit project tax.,Food & Drink,16711100,Expense
2024-08-26,Pharmacy platform train bus.,Shopping,14336700,Expense
2024-08-26,Bill network invoice store train financial mall.,Shopping,3403100,Expense
2024-08-26,Client express.,Travel,7121000,Expense
2024-08-26,Renewal hardware.,Other,35937600,Income
2024-08-26,Total processed mortgage maintenance transfer invoice credit.,Health & Fitness,7484200,Expense
2024-08-26,Digital premium utility bonus debit household.,Travel,15086700,Expense
2024-08-26,Investment fuel bus market subscription management phone.,Other,21243000,Income
2024-08-27,Market business health annual management.,Travel,19715800,Expense
2024-08-27,Internet purchase.,Entertainment,6545200,Expense
2024-08-27,Fee taxi.,Entertainment,8873200,Expense
2024-08-27,Automatic digital network service.,Health & Fitness,9208500,Expense
2024-08-27,Online taxi.,Travel,5377000,Expense
2024-08-27,Tax booking clinic deal.,Entertainment,14041700,Expense
2024-08-27,Economy taxi material standard shop personal.,Utilities,6522100,Expense
2024-08-27,Good spend still.,Salary,15422300,Income
2024-08-27,Water market weekly.,Health & Fitness,1074900,Expense
2024-08-27,Bus support special health.,Shopping,17489100,Expense
2024-08-27,Ball theory prepare much throughout.,Travel,13914400,Expense
2024-08-27,Investment household deal.,Investment,19401900,Income
2024-08-28,Investment package hotel salary subscription.,Food & Drink,10747400,Expense
2024-08-28,Entertainment invoice.,Rent,14736000,Expense
2024-08-28,Package business savings train.,Health & Fitness,9211500,Expense
2024-08-28,Health personal.,Entertainment,6962100,Expense
2024-08-28,Concern should recent across.,Salary,13663700,Income
2024-08-28,Course staff personal space.,Shopping,12709900,Expense
2024-08-28,View know develop after.,Food & Drink,9691200,Expense
2024-08-29,Insurance gross balance daily discount food.,Investment,21719000,Income
2024-08-29,Fee premium invoice mortgage.,Food & Drink,18683700,Expense
2024-08-29,Service train loan grocery tax management plan.,Travel,744700,Expense
2024-08-29,Bus deposit tools hotel.,Food & Drink,6306100,Expense
2024-08-29,Monthly gross material premium hotel market.,Entertainment,10884500,Expense
2024-08-29,Discount discount total app.,Investment,39069800,Income
2024-08-29,Premium internet restaurant restaurant.,Entertainment,11921200,Expense
2024-08-30,Mortgage priority savings platform.,Shopping,734300,Expense
2024-08-30,Internet savings payment financial special total freelance.,Salary,14252600,Income
2024-08-30,Woman whose already.,Entertainment,16023200,Expense
2024-08-30,Hospital delivery store fuel tools.,Utilities,10366200,Expense
2024-08-30,Vendor gross taxi personal water priority mortgage.,Shopping,10332500,Expense
2024-08-30,Bonus parking standard discount adjustment direct booking.,Health & Fitness,3753200,Expense
2024-08-30,Investment electricity bill order.,Salary,11004900,Income
2024-08-30,Bus client hardware online online.,Shopping,8462500,Expense
2024-08-31,Bill adjustment utility utility premium plan.,Salary,10749400,Income
2024-08-31,Taxi renewal net hospital market clinic travel.,Rent,805400,Expense
2024-08-31,Loan payment parking credit store entertainment.,Shopping,8579900,Expense
2024-08-31,Project electricity grocery.,Shopping,7125000,Expense
2024-08-31,Equipment gross booking fee.,Utilities,15795200,Expense
2024-09-01,Taxi annual utility flight.,Other,36831800,Income
2024-09-01,Deal financial maintenance contract regular delivery.,Food & Drink,3805300,Expense
2024-09-01,Automatic debit entertainment plan order renewal deal.,Entertainment,5361500,Expense
2024-09-01,Decide cultural start how thank.,Health & Fitness,10378400,Expense
2024-09-01,Savings market premium.,Utilities,10218900,Expense
2024-09-01,Loan water transfer management.,Health & Fitness,9042100,Expense
2024-09-02,Freelance adjustment travel daily hospital.,Food & Drink,389900,Expense
2024-09-02,Management necessary process not.,Other,25330000,Income
2024-09-02,Vendor personal priority shop direct network.,Rent,11448100,Expense
2024-09-02,Loan budget.,Travel,13267000,Expense
2024-09-02,Priority budget premium client train software.,Other,40180400,Income
2024-09-02,Project entertainment flight hotel platform purchase discount.,Travel,6100000,Expense
2024-09-03,Purchase digital total discount support booking.,Food & Drink,18372100,Expense
2024-09-03,Plan online service fee deposit order.,Other,23928700,Income
2024-09-03,Maintenance store gross app service health.,Travel,2512600,Expense
2024-09-04,Personal balance booking.,Rent,13345900,Expense
2024-09-04,Payment economy plan.,Food & Drink,7954700,Expense
2024-09-04,Household weekly service economy phone delivery credit.,Shopping,13885000,Expense
2024-09-04,Charge platform.,Rent,3970800,Expense
2024-09-04,Bill premium insurance delivery.,Entertainment,4886700,Expense
2024-09-04,Financial total.,Health & Fitness,11528000,Expense
2024-09-05,Item yet ever quite.,Travel,3737400,Expense
2024-09-05,Loan shop total.,Rent,6937500,Expense
2024-09-05,Annual hospital net insurance balance.,Food & Drink,4627900,Expense
2024-09-05,Mall online electricity net discount bill.,Utilities,8159500,Expense
2024-09-05,Transfer priority deposit loan salary clinic gym.,Salary,15088500,Income
2024-09-05,Express gross gross investment food.,Shopping,5507000,Expense
2024-09-05,Assume campaign assume.,Shopping,13506600,Expense
